"s","p","o"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#how","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#if","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#if","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoReceiver","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoReceiver","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoSource","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoSource","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#left","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#left","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#middle","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#middle","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#near","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#near","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#next_to","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#next_to","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#on","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#on","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#opposite","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#opposite","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#orTarget","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#orTarget","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#TargetObjProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#otherwise","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#otherwise","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#right","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#right","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#then","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#then","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#therefore","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#therefore","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#to","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#to","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#what","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#what","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#when","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#when","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#when","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#when_during","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#when_during","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#where","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#where","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#whom","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#whom","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#why","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#why","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#time","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#time","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#DateTime"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#AbstractTime","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Animal","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Animal","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Object"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Object","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#CanAction","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#CanAction","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#CanNotAction","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#CanNotAction","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#CanAction"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#CanNotAction","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#NotAction"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#NotAction","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#NotAction","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#OFobj","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#OFobj","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Object"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#ORobj","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#ORobj","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Object"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Person","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Person","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Animal"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Place","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Place","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Object"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Property","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Scene","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Scene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Statement","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Statement","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Scene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Talk","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Talk","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Scene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Thought","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Thought","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Scene"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/1","http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://kgc.knowledge-graph.jp/data/predicate/come"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/1","http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://kgc.knowledge-graph.jp/data/SpeckledBand/Helen"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/1","http://kgc.knowledge-graph.jp/ontology/kgc.owl#to","http://kgc.knowledge-graph.jp/data/SpeckledBand/house_of_Holmes"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/come","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/Helen","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Person"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/house_of_Holmes","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#OFobj"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/house_of_Holmes","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Place"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/house_of_Holmes","http://kgc.knowledge-graph.jp/ontology/kgc.owl#partOf","http://kgc.knowledge-graph.jp/data/SpeckledBand/house"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/house_of_Holmes","http://kgc.knowledge-graph.jp/ontology/kgc.owl#wholeOf","http://kgc.knowledge-graph.jp/data/SpeckledBand/Holmes"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/2","http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://kgc.knowledge-graph.jp/data/predicate/beScared"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/2","http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://kgc.knowledge-graph.jp/data/SpeckledBand/Helen"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/beScared","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/beScared","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Property"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/3","http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://kgc.knowledge-graph.jp/data/predicate/beUpset"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/3","http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://kgc.knowledge-graph.jp/data/SpeckledBand/Helen"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/beUpset","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/4","http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://kgc.knowledge-graph.jp/data/predicate/notHave"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/4","http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://kgc.knowledge-graph.jp/data/SpeckledBand/Helen"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/4","http://kgc.knowledge-graph.jp/ontology/kgc.owl#what","http://kgc.knowledge-graph.jp/data/SpeckledBand/money"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/notHave","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/notHave","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#NotAction"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/notHave","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Not","http://kgc.knowledge-graph.jp/data/SpeckledBand/have"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/money","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Object"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/5","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/5","http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://kgc.knowledge-graph.jp/data/predicate/getMarried"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/5","http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://kgc.knowledge-graph.jp/data/SpeckledBand/Helen"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/5","http://kgc.knowledge-graph.jp/ontology/kgc.owl#when","http://kgc.knowledge-graph.jp/data/SpeckledBand/within_2_months"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/getMarried","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/within_2_months","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Object"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/6","http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://kgc.knowledge-graph.jp/data/predicate/obtain"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/6","http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://kgc.knowledge-graph.jp/data/SpeckledBand/Helen"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/6","http://kgc.knowledge-graph.jp/ontology/kgc.owl#then","http://kgc.knowledge-graph.jp/data/SpeckledBand/7"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/6","http://kgc.knowledge-graph.jp/ontology/kgc.owl#what","http://kgc.knowledge-graph.jp/data/SpeckledBand/money"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/6","http://kgc.knowledge-graph.jp/ontology/kgc.owl#when","http://kgc.knowledge-graph.jp/data/SpeckledBand/within_2_months"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/obtain","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Action"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/7","http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://kgc.knowledge-graph.jp/data/predicate/pay"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/7","http://kgc.knowledge-graph.jp/ontology/kgc.owl#subject","http://kgc.knowledge-graph.jp/data/SpeckledBand/Helen"
